ASV1	gi|1851967025|gb|MT590312.1|	Wolbachia endosymbiont of Aedes albopictus clone WCAAL1 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV2	gi|1851967092|gb|MT590313.1|	Wolbachia endosymbiont of Aedes albopictus clone YTAAL1 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV3	gi|1800440836|dbj|LC519858.1|	Lactobacillus floricola JCM 16512 gene for 16S rRNA, partial sequence	5.23e-127	468	100.000	100	100
ASV4	gi|1785000536|gb|MN841897.1|	Gilliamella sp. strain B8843-T3 16S ribosomal RNA gene, partial sequence	2.45e-120	446	98.419	100	100
ASV5	gi|2706543112|emb|OZ026533.1|	Alphaproteobacteria bacterium endosymbiont of Pipizella viduata isolate e6689bee-e4fc-4eb7-97e8-416618babde4 genome assembly, chromosome: 1	1.14e-118	440	98.024	100	100
ASV5	gi|2706543112|emb|OZ026533.1|	Alphaproteobacteria bacterium endosymbiont of Pipizella viduata isolate e6689bee-e4fc-4eb7-97e8-416618babde4 genome assembly, chromosome: 1	1.14e-118	440	98.024	100	100
ASV6	gi|2062381872|gb|MZ490474.1|	Wolbachia pipientis isolate Wp_M3 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV7	gi|1835259407|gb|MT386309.1|	Enterobacteriaceae bacterium strain Atelim3M 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV9	gi|1853506050|gb|MT605345.1|	[Pantoea] cedenensis strain MB137 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV10	gi|298397700|gb|HM112394.1|	Uncultured Acetobacteraceae bacterium clone SHOB703 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV12	gi|1682789804|gb|MK128664.1|	Asaia sp. clone Bandarabbas 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
